section,count,name,mana_cost,type,set,set_code,collector_number,lang,rarity,artist,finish,usd_price,eur_price,tix_price,scryfall_uri,scryfall_id
nonlands,1,Broken Bond,{1}{G},Sorcery,Dominaria,dom,157,en,common,Ryan Yee,,0.29,0.17,0.03,https://scryfall.com/card/dom/157/broken-bond,b4dcb59f-2a47-4461-9831-204ad15696b5
nonlands,1,Cultivate,{2}{G},Sorcery,Commander 2021,c21,187,en,uncommon,Anthony Palumbo,,0.51,0.41,0.02,https://scryfall.com/card/c21/187/cultivate,bffc7f45-6f2c-401a-83a6-b36ce3e1948e
nonlands,1,Exploration,{G},Enchantment,Double Masters,2xm,167,en,rare,Florian de Gesincourt,,14.99,10.06,9.45,https://scryfall.com/card/2xm/167/exploration,ce4c6535-afea-4704-b35c-badeb04c4f4c
nonlands,1,Nature's Claim,{G},Instant,Iconic Masters,ima,177,en,common,Raoul Vitale,,0.91,0.85,0.04,https://scryfall.com/card/ima/177/natures-claim,d24b6640-ef2f-4c92-beb3-afdf78f9c2d5
nonlands,1,Harrow,{2}{G},Instant,Zendikar Rising Commander,znc,69,en,common,Izzy,,0.46,0.37,0.01,https://scryfall.com/card/znc/69/harrow,f8095ca6-2f5f-497f-8b78-7e530ac31d22
nonlands,1,Farseek,{1}{G},Sorcery,Commander 2019,c19,165,en,common,Martina Pilcerova,,0.98,1.1,0.03,https://scryfall.com/card/c19/165/farseek,061f0032-eb14-4c63-8231-aa61472396c2
nonlands,1,Khalni Heart Expedition,{1}{G},Enchantment,Commander Legends,cmr,428,en,common,Jason Chan,,0.24,0.13,0.04,https://scryfall.com/card/cmr/428/khalni-heart-expedition,45cbbcfb-1b1b-4991-988d-17a22a08d5b0
commanders,1,"Omnath, Locus of Creation",{R}{G}{W}{U},Legendary Creature — Elemental,Zendikar Rising,znr,232,en,mythic,Chris Rahn,,7.17,10.7,6.57,https://scryfall.com/card/znr/232/omnath-locus-of-creation,4e4fb50c-a81f-44d3-93c5-fa9a0b37f617
nonlands,1,Retreat to Coralhelm,{2}{U},Enchantment,Battle for Zendikar,bfz,82,en,uncommon,Kieran Yanner,,0.83,0.6,0.03,https://scryfall.com/card/bfz/82/retreat-to-coralhelm,68684c8e-dc19-4a56-b511-4e21140b137f
nonlands,1,Blasphemous Act,{8}{R},Sorcery,Commander 2021,c21,159,en,rare,Daarken,,2.03,2.02,0.02,https://scryfall.com/card/c21/159/blasphemous-act,827bc177-e0d4-4607-97f6-18bb40d16ec8
nonlands,1,Kodama's Reach,{2}{G},Sorcery — Arcane,Commander 2021,c21,197,en,common,John Avon,,1.19,0.99,0.01,https://scryfall.com/card/c21/197/kodamas-reach,8da1bbb5-7884-46a9-962b-cfc9fe35500a
nonlands,1,Rampant Growth,{1}{G},Sorcery,Commander 2021,c21,204,en,common,Steven Belledin,,0.33,0.29,0.01,https://scryfall.com/card/c21/204/rampant-growth,d2e16cbe-b52b-46d7-8532-2068684b3491
nonlands,1,Scapeshift,{2}{G}{G},Sorcery,Core Set 2019,m19,201,en,mythic,Daniel Ljunggren,,19.87,11.78,0.1,https://scryfall.com/card/m19/201/scapeshift,175e21a3-00f7-4c51-8a8e-fbfd7089efda
nonlands,1,Zendikar's Roil,{3}{G}{G},Enchantment,Zendikar Rising Commander,znc,88,en,uncommon,Sam Burley,,0.73,0.49,0.03,https://scryfall.com/card/znc/88/zendikars-roil,60297593-2438-48d7-9414-48af114a93d2
nonlands,1,Valakut Exploration,{2}{R},Enchantment,Zendikar Rising,znr,175,en,rare,Jesper Ejsing,,1.17,0.93,0.02,https://scryfall.com/card/znr/175/valakut-exploration,18cb7bf6-9c7c-4e62-a678-7b75862e2f64
nonlands,1,"Nissa, Vital Force",{3}{G}{G},Legendary Planeswalker — Nissa,Kaladesh,kld,163,en,mythic,Clint Cearley,,3.08,3.23,0.02,https://scryfall.com/card/kld/163/nissa-vital-force,bbaaa98a-ec40-4ff1-8762-a719cf1c475d
nonlands,1,Trade Routes,{1}{U},Enchantment,Ninth Edition,9ed,108,en,rare,Matt Cavotta,,3.06,1.73,0.02,https://scryfall.com/card/9ed/108/trade-routes,57e5d7c9-36f7-4312-ada0-b6c2757487c8
nonlands,1,Felidar Retreat,{3}{W},Enchantment,Zendikar Rising,znr,16,en,rare,Ralph Horsley,,0.63,0.87,0.02,https://scryfall.com/card/znr/16/felidar-retreat,45340647-4d3e-4be1-b0e6-e40cc56a438b
nonlands,1,Roiling Regrowth,{2}{G},Instant,Zendikar Rising,znr,201,en,uncommon,Jonas De Ro,,0.3,0.18,0.03,https://scryfall.com/card/znr/201/roiling-regrowth,fa259096-b24f-414c-af59-301bed4b4627
nonlands,1,Asceticism,{3}{G}{G},Enchantment,Scars of Mirrodin,som,110,en,rare,Daarken,,3.56,2.54,0.02,https://scryfall.com/card/som/110/asceticism,ec2b56b0-126c-411b-8c43-b690fc8c194b
nonlands,1,Sol Ring,{1},Artifact,Commander 2021,c21,263,en,uncommon,Mike Bierek,,0.92,0.76,0.11,https://scryfall.com/card/c21/263/sol-ring,4cbc6901-6a4a-4d0a-83ea-7eefa3b35021
nonlands,1,Swords to Plowshares,{W},Instant,Commander Legends,cmr,387,en,uncommon,Sam Wolfe Connelly,,1.09,1.28,0.16,https://scryfall.com/card/cmr/387/swords-to-plowshares,be2b4177-e47c-4dde-9ead-31b7602065ec
nonlands,1,Generous Gift,{2}{W},Instant,Commander Legends,cmr,375,en,uncommon,Kev Walker,,0.44,0.62,0.29,https://scryfall.com/card/cmr/375/generous-gift,26296a96-bdca-405f-ab06-e280b42c4ab9
nonlands,1,Path to Exile,{W},Instant,Double Masters,2xm,25,en,uncommon,Todd Lockwood,,1.04,0.99,0.04,https://scryfall.com/card/2xm/25/path-to-exile,e9d36855-c38a-4bba-a642-cff3f81e057e
